Common_name,Species,location,date_first record,first record source
FAYC1,CM,Fayrouz,01-12-2009,Benny Van Laere - EXTRA DIVERS
FAYC2,CM,Fayrouz,22-11-2011,Benny Van Laere - EXTRA DIVERS
FAYC3,CM,Fayrouz,11-11-2012,Benny Van Laere - EXTRA DIVERS
FAYE1,EI,Fayrouz,16-10-2016,Benny Van Laere - EXTRA DIVERS
FAYE2,EI,Fayrouz,11-11-2012,Benny Van Laere - EXTRA DIVERS
FEDE,CM,MARSA EGLA,28/10/2025,Mara Cavola
FELICIA,EI,GORGONIA,8/23/2022,AXEL WOLFGANG SPITZER
FELIX,EI,El Gilwa,30-6-2012,PETER HASSA
FENOMENO,EI,Benny Sharari,10-11-2018,Alessandro Ferlazzo Ciano
FERNANDO,CM,Coraya Bay,16-07-2016,Sabina M. Horn
FIAMMETTA,CM,MARSA EGLA,4/20/2023,MICOL MONTAGNA
FIEKE,CM,MARSA ABU DABBAB,6/13/2021,Mariska van der Paauw - MM
FLASHO,EI,Wadi Lahmi,15-12-2018,Alessandro Ferlazzo Ciano
FLORA,EI,Rocky Island,14-3-2021,MICOL M
FLORINE,CM,HERMES,1/18/2023,RUUD VAN DEN BERG
fluffy,CM,MAKADI BAY,9/11/2022,Sophia Wacker
FOFO,CM,MARSA SHONA,9/18/2025,Micol Montagna
FORTUNATA,EI,EL KHORAFI,6/21/2023,Silvia Bodei
FOX,CM,Brayka,06-09-2018,Youssef Fam and Maged Fam
FOXY,CM,MARSA ABU DABBAB,8/4/2021,Momoo El Gohary & Sahra El Gohary
FRANCINA,CM,GAbel Rosas,25-09-2021,FRANNIE VAN HAALEN
FRANNIE,EI,Gabel Rosas,08-03-2016,Frannie Van Haalen van Remmerden
FREDERIK,CM,TONDOBA,1/20/2024,MAJA ZAMENCKA
FREDY,CM,MARSA SHAGRA,5/20/2023,MATTEO MORANDI
FREIHEIT,CM,TONDOBA,29/12/2020,SIMONETTA ZANDIRI
FREYJA,CM,CORAYA BAY,3/16/2023,Nathalie Partenhauser
GABALINO,CM,TONDOBA,6/4/2021,AHMED MAGDY
GALILA,CM,SHAMS ALAM,6/27/2022,KARIM ELGOGARY
GAMAL,CM,GAbel Rosas,29-09-2021,FRANNIE VAN HAALEN
GARUNK3,CM,Gabel Rosas,15-10-2015,Frannie Van Haalen van Remmerden
GARUNK5,CM,Gabel Rosas,31-05-2018,MM
GERMANA,CM,TORFA,6/19/2024,Micol MONTAGNA
Gerry,CM,Abu Dabbab,6/1/2015,Petra Wahl - MM
GHAMILA,CM,Naama Bay,7/10/2022,NICOLE WINGARTZ - SUBEX SHARM
GHILA,CM,Marsa Abu Dabbab,29-04-2019,Micol M
GIF,EI,Diver's Alley,20-05-2017,Haibert Rodebusch- ILIO
GIGGI,CM,Lahami Bay,16-01-2019,Alessandro Ferlazzo Ciano
GIOP,EI,MARSA EGLA,1/13/2025,Sofia Pirola
GIULIA,CM,HERMES,8-2-2020,AbDAllah Taher - MM
